2420035.50000	13.600000			Vis.	TOD						No		G				T UMI		STD		
2420044.60000	13.300000			Vis.	F32	  year?					No		G				T UMI		STD		
2420046.54380	13.300000			Vis.	BAN						No		G				T UMI		STD		
2420068.50000	12.200000			Vis.	TOD						No		G				T UMI		STD		
2420068.60000	12.600000			Vis.	F32	  year?					No		G				T UMI		STD		
2420075.53330	12.100000			Vis.	BAN						No		G				T UMI		STD		
2420077.40000	12.100000			Vis.	TOD						No		G				T UMI		STD		
2420077.60000	12.200000			Vis.	F32	  year?					No		G				T UMI		STD		
2420093.48400	10.300000			Vis.	BAN						No		G				T UMI		STD		
2420093.60000	11.300000			Vis.	F32	  year?					No		G				T UMI		STD		
2420097.50000	10.400000			Vis.	TOD						No		G				T UMI		STD		
2420103.69100	10.000000			Vis.	GRY						No		G				T UMI		STD		
2420105.66700	10.000000			Vis.	GRY						No		G				T UMI		STD		
2420107.50000	8.800000			Vis.	TOD	U					No		G				T UMI		STD		
2420117.63200	9.600000			Vis.	GRY						No		G				T UMI		STD		
2420123.50000	9.000000			Vis.	TOD	U					No		G				T UMI		STD		
2420148.63200	9.600000			Vis.	GRY	X					No		G				T UMI		STD		
2420155.70000	10.400000			Vis.	TOD						No		G				T UMI		STD		
2420160.61810	10.800000			Vis.	BAN						No		G				T UMI		STD		
2420164.73600	11.400000			Vis.	GRY						No		G				T UMI		STD		
2420166.63190	11.000000			Vis.	BAN						No		G				T UMI		STD		
2420168.50000	10.900000			Vis.	TOD						No		G				T UMI		STD		
2420191.70000	12.100000			Vis.	TOD						No		G				T UMI		STD		
2420207.50000	12.100000			Vis.	TOD						No		G				T UMI		STD		
2420216.65280	12.400000			Vis.	BAN						No		G				T UMI		STD		
2420226.60000	13.100000			Vis.	TOD						No		G				T UMI		STD		
2420226.74100	12.500000			Vis.	BBL						No		G				T UMI		STD		
2420229.71180	12.500000			Vis.	BBL						No		G				T UMI		STD		
2420254.50000	13.300000			Vis.	TOD						No		G				T UMI		STD		
2420384.54930	12.300000			Vis.	BAN						No		G				T UMI		STD		
2420388.55000	12.100000			Vis.	BAN						No		G				T UMI		STD		
2420392.54580	12.000000			Vis.	BAN						No		G				T UMI		STD		
2420398.55970	11.900000			Vis.	BAN						No		G				T UMI		STD		
2420402.51390	11.700000			Vis.	BAN						No		G				T UMI		STD		
2420406.50350	11.500000			Vis.	BAN						No		G				T UMI		STD		
2420685.61940	12.500000			Vis.	BAN						No		G				T UMI		STD		
2420697.61040	12.000000			Vis.	BAN						No		G				T UMI		STD		
2420717.60350	10.200000			Vis.	BAN						No		G				T UMI		STD		
2420723.56740	10.000000			Vis.	BAN						No		G				T UMI		STD		
2420728.56940	9.900000			Vis.	BAN						No		G				T UMI		STD		
2420740.57990	9.600000			Vis.	BAN						No		G				T UMI		STD		
2420743.53130	9.600000			Vis.	BUR						No		G				T UMI		STD		
2420765.54170	9.000000			Vis.	BAN						No		G				T UMI		STD		
2420774.52360	9.500000			Vis.	BAN						No		G				T UMI		STD		
2420780.52780	9.500000			Vis.	BAN						No		G				T UMI		STD		
2420798.51390	10.100000			Vis.	BAN						No		G				T UMI		STD		
2420813.53330	10.600000			Vis.	BAN						No		G				T UMI		STD		
2421010.60000	12.100000			Vis.	BAN						No		G				T UMI		STD		
2421016.60000	12.000000			Vis.	BAN						No		G				T UMI		STD		
2421027.60000	11.800000			Vis.	BAN						No		G				T UMI		STD		
2421033.60000	11.300000			Vis.	BAN						No		G				T UMI		STD		
2421036.60000	10.900000			Vis.	V						No		G				T UMI		STD		
2421043.60000	10.300000			Vis.	BAN						No		G				T UMI		STD		
2421048.60000	9.800000			Vis.	V						No		G				T UMI		STD		
2421062.60000	9.300000			Vis.	MAC						No		G				T UMI		STD		
2421063.60000	9.000000			Vis.	BAN						No		G				T UMI		STD		
2421066.60000	8.700000			Vis.	V						No		G				T UMI		STD		
2421072.60000	9.100000			Vis.	MAC						No		G				T UMI		STD		
2421073.60000	9.000000			Vis.	BAN						No		G				T UMI		STD		
2421080.60000	9.000000			Vis.	BAN						No		G				T UMI		STD		
2421083.60000	9.300000			Vis.	MAC						No		G				T UMI		STD		
2421088.60000	9.400000			Vis.	BAN						No		G				T UMI		STD		
2421093.60000	9.800000			Vis.	V						No		G				T UMI		STD		
2421100.60000	10.000000			Vis.	BAN						No		G				T UMI		STD		
2421107.60000	10.500000			Vis.	BAN						No		G				T UMI		STD		
2421113.60000	10.800000			Vis.	BUR						No		G				T UMI		STD		
2421120.50000	11.400000			Vis.	BAN						No		G				T UMI		STD		
2421126.50000	11.600000			Vis.	BAN						No		G				T UMI		STD		
2421127.60000	11.500000			Vis.	MAC						No		G				T UMI		STD		
2421132.50000	11.800000			Vis.	BAN						No		G				T UMI		STD		
2421141.60000	12.100000			Vis.	BAN						No		G				T UMI		STD		
2421145.70000	12.200000			Vis.	BUR						No		G				T UMI		STD		
2421159.50000	12.300000			Vis.	BAN						No		G				T UMI		STD		
2421307.60000	13.000000			Vis.	BAN						No		G				T UMI		STD		
2421341.50000	10.600000			Vis.	LY						No		G				T UMI		STD		
2421349.50000	10.100000			Vis.	LY						No		G				T UMI		STD		
2421352.60000	10.100000			Vis.	BAN						No		G				T UMI		STD		
2421357.40000	9.600000			Vis.	LY						No		G				T UMI		STD		
2421358.40000	9.600000			Vis.	LY						No		G				T UMI		STD		
2421359.70000	9.500000			Vis.	BAN						No		G				T UMI		STD		
2421361.60000	9.500000			Vis.	VGZ						No		G				T UMI		STD		
2421363.40000	9.300000			Vis.	LY						No		G				T UMI		STD		
2421368.50000	9.100000			Vis.	LY						No		G				T UMI		STD		
2421369.40000	9.000000			Vis.	LY						No		G				T UMI		STD		
2421371.40000	9.100000			Vis.	LY						No		G				T UMI		STD		
2421373.40000	9.100000			Vis.	LY						No		G				T UMI		STD		
2421374.50000	9.100000			Vis.	LY						No		G				T UMI		STD		
2421375.40000	9.100000			Vis.	LY						No		G				T UMI		STD		
2421383.50000	9.100000			Vis.	LY						No		G				T UMI		STD		
2421390.47000	9.100000			Vis.	VGZ						No		G				T UMI		STD		
2421390.50000	9.200000			Vis.	LY						No		G				T UMI		STD		
2421393.50000	9.200000			Vis.	LY						No		G				T UMI		STD		
2421397.60000	9.000000			Vis.	BAN						No		G				T UMI		STD		
2421400.50000	9.300000			Vis.	LY						No		G				T UMI		STD		
2421400.80000	9.100000			Vis.	MAC						No		G				T UMI		STD		
2421406.50000	9.400000			Vis.	LY						No		G				T UMI		STD		
2421412.50000	9.600000			Vis.	LY						No		G				T UMI		STD		
2421421.50000	10.000000			Vis.	LY						No		G				T UMI		STD		
2421422.50000	10.100000			Vis.	LY						No		G				T UMI		STD		
2421430.50000	11.000000			Vis.	LY						No		G				T UMI		STD		
2421432.50000	11.200000			Vis.	LY						No		G				T UMI		STD		
2421434.60000	10.800000			Vis.	BAN						No		G				T UMI		STD		
2421457.50000	11.900000			Vis.	LY						No		G				T UMI		STD		
2421458.40000	11.900000			Vis.	LY						No		G				T UMI		STD		
2421459.60000	11.900000			Vis.	BAN						No		G				T UMI		STD		
2421466.40000	12.300000			Vis.	LY						No		G				T UMI		STD		
2421479.40000	12.700000			Vis.	LY						No		G				T UMI		STD		
2421482.50000	12.400000			Vis.	BAN						No		G				T UMI		STD		
2421489.60000	12.400000			Vis.	BAN						No		G				T UMI		STD		
2421492.50000	12.800000			Vis.	LY						No		G				T UMI		STD		
2421493.40000	12.800000			Vis.	LY						No		G				T UMI		STD		
2421496.40000	12.800000			Vis.	LY						No		G				T UMI		STD		
2421509.50000	13.000000			Vis.	BAN						No		G				T UMI		STD		
2421522.50000	13.200000			Vis.	BAN						No		G				T UMI		STD		
2421540.50000	13.200000			Vis.	BAN						No		G				T UMI		STD		
2421641.30000	11.400000			Vis.	LY						No		G				T UMI		STD		
